userid,itemid,rating,Time,Location,Companion
1082,tt0343660,2,Weekday,Home,Partner
1082,tt1499658,2,Weekend,Cinema,Alone
1082,tt0413267,1,Weekend,Home,Partner
1082,tt1099212,1,Weekend,Home,Partner
1082,tt1099212,1,Weekday,Home,Partner
1082,tt0343660,1,Weekend,Home,Partner
1082,tt1637706,1,Weekend,Cinema,Alone
1082,tt1133985,1,Weekend,Home,Partner
1082,tt0413267,1,Weekday,Home,Partner
1082,tt1099212,1,Weekend,Cinema,Alone
1082,tt0413267,1,Weekday,Home,Partner
1082,tt3793764,1,Weekend,Home,Partner
1082,tt1099212,1,Weekend,Home,Partner
1082,tt1099212,1,Weekday,Home,Partner
1082,tt3793764,1,Weekend,Home,Partner
