userid,itemid,rating,Time,Location,Companion
1008,tt0120912,2,Weekend,Home,Family
1008,tt0382625,5,Weekend,Cinema,Alone
1008,tt1190080,4,Weekend,Cinema,Alone
1008,tt0441773,4,Weekend,Cinema,Alone
1070,tt0114148,1,Weekday,Cinema,Alone
1070,tt0114369,3,Weekend,Home,Family
1070,tt0362165,1,Weekend,Home,Family
1070,tt3793764,4,Weekday,Home,Alone
1070,tt0120338,5,Weekday,Home,Alone
1070,tt0110357,5,Weekday,Home,Alone
1070,tt0110357,5,Weekend,Cinema,Family
1070,tt0114148,1,Weekday,Home,Partner
1112,tt0293662,5,Weekend,Home,Partner
1112,tt0138097,1,Weekend,Home,Alone
1112,tt1099212,2,Weekday,Home,Alone
1112,tt0362165,2,Weekday,Home,Alone
1112,tt1041829,5,Weekday,Home,Alone
1112,tt3510098,2,Weekend,Home,Partner
1112,tt0232500,5,Weekend,Home,Partner
1112,ttnanana2,3,Weekend,Home,Alone
1112,tt0413267,2,Weekday,Cinema,Partner
1112,tt0293662,5,Weekday,Home,Alone
1112,tt0362165,5,Weekend,Home,Partner
1041,tt0382625,4,Weekday,Cinema,Family
1041,tt0109830,3,Weekday,Cinema,Family
1041,tt1232829,1,Weekend,Home,Alone
1041,tt0293662,3,Weekday,Cinema,Family
1041,tt0405422,3,Weekday,Cinema,Family
1041,tt3793764,5,Weekday,Cinema,Family
1041,tt0407304,3,Weekday,Cinema,Family
1041,tt0454876,3,Weekday,Home,Partner
1041,tt0382625,4,Weekday,Home,Partner
1041,tt1232829,3,Weekend,Home,Family
1041,tt0816199,3,Weekday,Cinema,Family
1078,tt0181689,3,Weekday,Cinema,Family
1078,tt0993846,1,Weekday,Cinema,Family
1078,tt1375666,1,Weekday,Cinema,Family
1078,tt1564367,2,Weekday,Cinema,Family
1078,tt0111161,3,Weekday,Cinema,Family
1078,tt1232829,3,Weekend,Cinema,Family
1078,tt0147800,2,Weekday,Cinema,Family
1078,tt0111161,3,Weekend,Cinema,Family
1078,tt1707386,3,Weekday,Cinema,Family
1078,tt1707386,3,Weekend,Home,Alone
1078,tt1041829,2,Weekday,Cinema,Family
1078,tt2096673,1,Weekend,Home,Family
1052,tt0110357,5,Weekday,Home,Family
1052,tt0268380,5,Weekend,Home,Family
1052,tt0816199,5,Weekday,Home,Family
1052,tt1055369,5,Weekday,Home,Family
1052,tt0266543,5,Weekday,Home,Alone
1052,tt0454876,1,Weekday,Cinema,Alone
1052,tt0454876,1,Weekend,Cinema,Family
1052,tt1657301,3,Weekend,Home,Family
1052,tt0356910,1,Weekday,Cinema,Alone
1052,tt0088763,5,Weekday,Home,Alone
1052,tt0088763,4,Weekend,Home,Family
1071,tt0289879,4,Weekday,Cinema,Family
1071,tt0343660,3,Weekend,Cinema,Alone
1071,tt0268380,4,Weekday,Cinema,Family
1071,tt0088763,4,Weekday,Home,Family
1071,tt3793764,4,Weekday,Home,Family
1071,tt0268380,4,Weekday,Home,Family
1071,tt0454876,5,Weekday,Cinema,Family
1071,tt0109830,4,Weekday,Cinema,Family
1071,tt0266543,4,Weekday,Cinema,Family
1071,tt1099212,5,Weekday,Cinema,Family
1071,tt0454876,5,Weekend,Home,Family
1087,tt1453405,2,Weekend,Cinema,Partner
1087,tt1291150,4,Weekend,Cinema,Alone
1087,tt1453405,2,Weekday,Cinema,Family
1087,tt0356910,3,Weekday,Cinema,Family
1087,tt1055369,3,Weekday,Cinema,Family
1087,tt4052394,4,Weekend,Cinema,Alone
1087,tt1499658,4,Weekend,Cinema,Family
1087,ttnanana2,4,Weekend,Cinema,Family
1087,tt1232829,3,Weekday,Cinema,Family
1087,tt0110357,3,Weekday,Cinema,Family
1087,tt0169547,4,Weekend,Cinema,Family
1087,tt0388795,2,Weekday,Home,Alone
1087,tt4052394,3,Weekday,Cinema,Family
1087,tt0382625,4,Weekend,Cinema,Alone
1087,tt0800369,4,Weekend,Cinema,Family
1087,tt0800369,3,Weekend,Cinema,Alone
1098,tt1133985,3,Weekend,Cinema,Partner
1098,tt1478338,4,Weekend,Home,Family
1098,tt0266543,4,Weekend,Cinema,Family
1098,tt1657301,4,Weekend,Cinema,Alone
1098,tt0111161,4,Weekend,Cinema,Family
1098,tt0125439,3,Weekend,Cinema,Family
1098,tt0109830,4,Weekend,Cinema,Alone
1098,tt0388795,3,Weekend,Cinema,Family
1098,tt3793764,3,Weekend,Home,Family
1098,tt0319262,3,Weekend,Home,Family
1098,tt3510098,4,Weekend,Home,Family
1098,tt1375666,3,Weekend,Cinema,Alone
1098,tt0489099,2,Weekday,Home,Alone
1098,tt0382625,4,Weekend,Cinema,Alone
1098,tt0405422,3,Weekend,Cinema,Alone
1098,tt0211915,4,Weekend,Home,Family
1098,tt0169547,4,Weekend,Cinema,Alone
1098,tt0289879,1,Weekday,Home,Alone
1098,tt0111161,4,Weekend,Cinema,Alone
